id;country;capital;population;lat;lon
1;Afganistan;Kabul;2994000;34.5553494;69.207486
2;Australia;Canberra;339106;-35.2813046;149.124822
3;Bialorus;Minsk;1939800;53.8838069;27.5796484
4;Bulgaria;Sofia;1212932;42.6954108;23.2539073
5;Chinska Republika Ludowa;Pekin;19612368;39.9385466;116.1172815
6;Chorwacja;Zagrzeb;790017;45.8401746;15.8942922
7;Czechy;Praga;1249026;50.0595854;14.3255428
8;Dania;Kopenhaga;518574;55.6712474;12.5237849
9;Egipt;Kair;8035070;30.0594838;31.223445
10;Francja;Paryz;2243833;48.8588377;2.2770207
11;Grecja;Ateny;664046;37.990832;23.70332
12;Gruzja;Tbilisi;1171200;41.732438;44.7688134
13;Hiszpania;Madryt;3215633;40.4378698;-3.8196188
14;Japonia;Tokio;13161751;35.6732619;139.5703054
15;Kuba;Hawana;2135498;23.0506712;-82.4030419
16;Litwa;Wilno;544386;54.7000902;25.1128517
17;Niemcy;Berlin;3575213;52.5067614;13.284651
18;Polska;Warszawa;1745412;52.232855;20.9211133
19;Rosja;Moskwa;11925123;55.5807482;36.8251525
20;Szwecja;Sztokholm;960031;59.3260668;17.8419726
21;Wlochy;Rzym;2873652;41.909986;12.3959159
